car_park_no,address,x_coord,y_coord,night_parking
H0037,HORNE ROAD ,31156.6722,32415.5396,YES
H0049,HARVEY ROAD ,33694.1267,35065.0569,YES
H0050,HOWARD ROAD ,33821.3672,35126.2837,YES
H0052,HARRISON ROAD ,33726.9865,35292.3854,YES
H0055,HAVELOCK ROAD ,27945.6334,30216.2337,YES
H0057,HINDOO ROAD/KAMPONG KAPOR ROAD OFF STREET,30357.0756,32253.0344,YES
H0061,HAPPY AVENUE NORTH ,33259.268,34796.8708,YES
I0005,IRVING ROAD ,34012.9401,35305.9333,YES
I0006,IRVING PLACE ,33932.0989,35359.9468,YES
J0001,JALAN BERSEH ,30673.7727,32186.9171,YES
J0003,JALAN BESAR ,30886.453,32651.9936,YES
J0006,JALAN KLAPA ,30959.352,31832.6983,YES
J0008,JALAN KLEDEK ,30861.1123,31751.0938,YES
J0009,JALAN KUBOR (NORTH BRIDGE RD/VICTORIA ST),30904.3338,31793.2028,YES
J0010,JALAN LANA ,37515.9181,33987.5429,YES
J0012,JALAN PISANG ,30822.9101,31719.6843,YES
J0015,JALAN BINCHANG ,29358.1715,37128.2565,YES
J0017,JOO CHIAT ROAD OFF STREET,35802.2986,32360.5974,YES
J0018,JIAK CHUAN ROAD ,28943.8334,29141.9905,YES
J0020,JOO KOON ROAD ,9684.9408,34196.6046,YES
J0021,JOO KOON WAY ,9802.0477,34239.3484,YES
J0022,JALAN PINANG ,30798.5756,31676.1098,YES
J0027,JOO KOON CIRCLE ,9522.2633,34170.124,YES
J0029,JALAN SULTAN ,31145.8496,31654.0635,YES
J0030,JALAN SEMERBAK ,31310.8082,34173.119,YES
J0033,JALAN TUKANG ,14531.1749,34259.8283,YES
J0034,JALAN LEGUNDI ,26863.4887,46992.5044,YES
J0035,JALAN TAMPANG ,26921.392,47081.0034,YES
J0036,JALAN DERUM ,26857.9161,47038.3689,YES
J0037,JOO YEE ROAD ,14904.047,34565.9526,YES
J0038,JALAN MERAH SAGA ,24074.0996,32727.4896,YES
J0039,JALAN RUMIA ,24044.0746,32616.6138,YES
J0040,JALAN KELABU ASAP ,24063.7079,32558.1341,YES
J0041,JALAN HITAM MANIS ,24178.58,32311.1125,YES
J0042,JALAN KUNING ,24148.9985,32434.1125,YES
J0043,JALAN PUTEH JERNEH ,24088.4125,32406.5974,YES
J0047,JALAN LEMBAH KALLANG ,31265.9466,33047.9131,YES
J0049,JELLICOE ROAD ,31167.4354,32205.7682,YES
J0050,JALAN MAS KUNING ,20259.5008,32267.347,YES
J0051,JALAN MAS PUTEH ,20108.8155,32297.0768,YES
J0054,JALAN BESAR / BEATTY ROAD OFF STREET,30879.7936,32867.7523,YES
J0055,JALAN SEH CHUAN OFF STREET,21507.9382,35973.7122,YES
J0056,JALAN SEH CHUAN/LORONG KILAT OFF STREET,21478.5272,35892.32,YES
J0057,JALAN DUSUN ,29177.501,34459.1851,YES
J0058,JALAN KEMAMAN ,29943.5371,34350.7918,YES
J0059,JALAN RAJA UDANG ,29008.0777,34339.7939,YES
J0060,JALAN RAMA RAMA ,29742.6401,34360.4624,YES
J0062,JALAN AMPAS ,29999.4452,34253.6075,YES
J0069,JOO AVENUE ,30418.7518,33075.6556,YES
J0070,JALAN ANGGEREK ,33441.9283,34701.3454,YES
J0075,JAGO CLOSE ,36312.6052,32143.9889,YES
J0080,JALAN MASJID ,36804.2874,33555.1648,YES
J0088,JOO SENG ROAD ,33589.6337,35570.5458,YES
J0092,JALAN KURAS OFF STREET ,27522.4487,39479.8693,YES
J0093,JOO KOON CRESCENT ,10195.5713,34602.9942,YES
J0094,JALAN KURAS ,27574.4273,39423.3059,YES
J0095,JALAN LEBAN SERVICE ROAD,27529.9765,39298.0875,YES
J0097,JALAN KUBOR (VICTORIA ST/ROCHOR CANAL RD),30834.1773,31911.2653,YES
J0098,JALAN MESIN ,33575.7494,35038.9753,YES
J0099,JALAN BAHAR HEAVY VEHICLE PARK,13459.4999,36687.9521,YES
J0100,JALAN PELEPAH OFF STREET,23792.7911,28505.857,YES
J0102,JOO CHIAT ROAD (CHANGI ROAD/EAST COAST ROAD),35600.7945,32535.4067,YES
J0104,JOO CHIAT PLACE ,35739.7643,32890.2959,YES
J0106,JOO CHIAT LANE ,35704.1348,32750.4456,YES
J0109,JALAN UBI ,35464.0555,33356.7564,YES
J0111,JALAN LAPANG ,36982.1452,33863.1246,YES
J0112,JALAN GELENGGANG ,27624.6368,39467.1833,YES
J0117,JALAN BESUT ,16045.2691,33249.0188,YES
J0122,JALAN KAYU OFF STREET ,32413.8058,42305.5178,YES
J0127,JALAN PENJARA ,25038.1635,31203.1627,YES
J0128,JALAN KLEDEK OFF STREET,30858.667,31771.5364,YES
J0130,JOO CHIAT TERRACE (JOO CHIAT RD/TEMBELING RD),35369.2277,32952.98,YES
J0132,JALAN PENJARA OFF STREET,25068.6516,31216.3832,YES
K0005,KANDAHAR STREET ,30938.4354,31628.5321,YES
K0006,KAKI BUKIT ROAD 1 ,35641.973,35188.8818,YES
K0008,KEONG SAIK ROAD ,28915.2111,29170.5476,YES
K0009,KERBAU ROAD ,30021.6384,32130.791,YES
K0010,KILLINEY ROAD ,28612.1897,31180.3576,YES
K0011,KINTA ROAD ,30192.8352,32533.656,YES
K0013,KITCHENER ROAD ,30861.3041,32282.575,YES
K0022,KAKI BUKIT AVENUE 4 ,36118.2212,35694.9844,YES
K0027,KAMPONG KAPOR ROAD ,30360.1392,32224.6281,YES
K0032,KENSINGTON PARK ROAD OFF STREET,31691.8699,38666.1896,YES
K0034,KUNG CHONG ROAD ,25601.2113,30240.5933,YES
K0037,KING GEORGE'S AVENUE OFF STREET,31142.4514,32510.4735,YES
K0039,KING GEORGE'S AVENUE/ HORNE ROAD OFF STREET,31186.6906,32479.9759,YES
K0049,KELANTAN ROAD ,30566.932,31992.7725,YES
K0051,KENSINGTON PARK ROAD SERVICE ROAD,31658.2122,38548.2622,YES
K0052,KALLANG SECTOR ,32404.3974,34186.5365,YES
K0054,KALLANG WAY ,32573.3016,34220.9489,YES
K0057,KALLANG AVENUE ,31732.5896,32520.1898,YES
K0061,KALLANG BAHRU ,31651.7483,33439.5281,YES
K0064,KOVAN ROAD ,33539.7059,38020.7153,YES
K0069,KELANTAN LANE ,30602.9086,32091.0637,YES
K0081,KIM CHUAN ROAD ,34152.7929,35904.1305,YES
K0082,KAMPONG BUGIS OFF STREET,31783.5107,32043.5092,YES
K0087,KIM KEAT CLOSE ,30219.1954,33997.7969,YES
K0091,KAKI BUKIT ROAD 2 ,35222.6231,35622.5703,YES
K0093,KAMPONG JAVA ROAD ,28968.6518,32842.2879,YES
K0094,KELLOCK ROAD ,27592.4699,30722.2311,YES
K0097,KAMPONG AMPAT ,33546.4671,35195.2453,YES
K0099,KAMPONG EUNOS ,36153.3509,33397.8418,YES
K0108,KEPPEL ROAD OFF STREET ,28698.1201,28398.6445,YES
K0110,KALLANG WAY 2A ,32917.6837,33975.0741,YES
K0111,KINTA ROAD OFF STREET ,30218.9526,32450.3014,YES
K0113,KIM YAM ROAD ,28746.2818,30584.1056,YES
K0114,KAMPONG BUGIS ,31644.5927,32215.7294,YES
K0115,KAKI BUKIT PLACE ,35769.9324,35140.0944,YES
K0120,KEMPAS ROAD ,30964.7888,33054.3887,YES
K0121,KAMPONG KAPOR ROAD OFF STREET,30307.4171,32100.4131,YES
L0002,LEMBU ROAD ,30370.6464,32463.2678,YES
L0003,LIANG SEAH STREET ,30564.0364,31160.6144,YES
L0004,LORONG 4 GEYLANG ,32749.2295,32521.7296,YES
L0005,LLOYD ROAD ,28713.9448,31057.708,YES
L0008,LORONG KILAT ,21322.9775,35909.6288,YES
L0009,LORONG TELOK ,29704.4929,29901.5012,YES
L0011,LINK ROAD ,14487.0621,34453.481,YES
L0013,LORONG 6 GEYLANG ,32814.3093,32543.2799,YES
L0014,LORONG 7 GEYLANG ,32735.7076,32750.1531,YES
L0015,LORONG 8 GEYLANG ,32879.607,32553.3059,YES
L0016,LORONG 9 GEYLANG ,32796.357,32790.1649,YES
L0018,LORONG 11 GEYLANG ,32858.1794,32812.7773,YES
L0019,LORONG 12 GEYLANG ,33018.0083,32576.574,YES
L0020,LORONG 13 GEYLANG ,32919.7374,32829.9928,YES
L0021,LORONG 14 GEYLANG ,33104.5638,32606.5258,YES
L0022,LORONG 15 GEYLANG ,32997.6355,32845.1321,YES
L0023,LORONG 16 GEYLANG ,33183.0797,32643.274,YES
L0024,LORONG 17 GEYLANG ,33053.0667,32862.94,YES
L0025,LORONG 18 GEYLANG ,33272.2844,32655.1971,YES
L0026,LORONG 19 GEYLANG ,33098.1018,32932.6382,YES
L0027,LORONG 20 GEYLANG ,33340.5093,32659.7565,YES
L0028,LORONG 21 GEYLANG ,33195.0918,32953.988,YES
L0029,LOK YANG WAY ,11998.7508,34093.6361,YES
L0030,LORONG BACHOK ,33150.253,32913.6443,YES
L0031,LORONG TAHAR ,32703.3323,32758.7607,YES
L0032,LORONG 23 GEYLANG ,33344.7664,32978.1124,YES
L0033,LORONG 24 GEYLANG ,33566.1635,32707.0137,YES
L0034,LORONG 24A GEYLANG ,33643.4622,32727.899,YES
L0035,LORONG 25 GEYLANG ,33468.4483,33002.1443,YES
L0036,LORONG 25A GEYLANG ,33538.8067,32950.7265,YES
L0037,LORONG 26 GEYLANG ,33736.5219,32746.929,YES
L0038,LORONG 27 GEYLANG ,33620.2988,33131.8429,YES
L0039,LORONG 27A GEYLANG ,33726.576,32982.1478,YES
L0040,LORONG 28 GEYLANG ,33815.2381,32757.2875,YES
L0041,LORONG 29 GEYLANG ,33843.8597,33008.1705,YES
L0042,LORONG 30 GEYLANG ,33898.3346,32778.0832,YES
L0043,LORONG 31 GEYLANG ,33962.2522,33028.4439,YES
L0044,LORONG 32 GEYLANG ,33968.7758,32789.8148,YES
L0045,LORONG 33 GEYLANG ,34061.4901,33039.3129,YES
L0046,LORONG 34 GEYLANG ,34071.0549,32808.1359,YES
L0047,LORONG 35 GEYLANG ,34142.1157,33070.2181,YES
L0048,LORONG 36 GEYLANG ,34138.4491,32813.6253,YES
L0049,LORONG 37 GEYLANG ,34268.0841,33100.8982,YES
L0050,LORONG 38 GEYLANG ,34190.3146,32877.0661,YES
L0051,LORONG 39 GEYLANG ,34390.9377,33094.9281,YES
L0052,LORONG 40 GEYLANG ,34279.2071,32914.1947,YES
L0053,LORONG 41 GEYLANG ,34456.1694,33125.4736,YES
L0056,LORONG 28 SERVICE ROAD GEYLANG,33868.9688,32639.4277,YES
L0057,LORONG 39 SERVICE ROAD GEYLANG,34353.3756,33133.4707,YES
L0058,LIM TUA TOW ROAD OFF STREET,32881.8908,37327.4993,YES
L0060,LORONG BAKAR BATU ,32474.1663,34367.3485,YES
L0061,LIM TUA TOW ROAD ,32794.3601,37397.5906,YES
L0064,LORONG 21 GEYLANG OFF STREET,33177.6203,32903.5269,YES
L0065,LORONG PENDEK ,32614.0932,34615.8065,YES
L0074,LORONG 21A GEYLANG ,33254.6661,33035.7093,YES
L0076,LORONG MELAYU ,36604.9907,33526.6785,YES
L0077,LENG KEE ROAD ,25656.8835,30349.2124,YES
L0078,LORONG MYDIN OFF STREET,36742.91,33491.4403,YES
L0079,LORONG MARZUKI ,36480.0187,33494.0567,YES
L0081,LORONG AMPAS ,30187.785,34265.1037,YES
L0082,LORONG SARINA ,36292.9658,33460.9333,YES
L0083,LORONG MARICAN ,36420.7759,33490.2769,YES
L0085,LOYANG WAY ,43707.7605,40515.9907,YES
L0087,LOYANG CRESCENT ,43387.0213,40582.6685,YES
L0088,LOYANG DRIVE ,42877.415,39218.7048,YES
L0089,LOYANG LANE ,42899.5023,39582.7804,YES
L0092,LITTLE ROAD ,33770.4816,35606.2111,YES
L0096,LORONG 101 CHANGI ,35393.2609,33097.3771,YES
L0097,LORONG 102 CHANGI ,35520.1683,33131.1008,YES
L0098,LORONG 104 CHANGI ,35646.742,33206.96,YES
L0099,LORONG 105 CHANGI ,35734.9299,33115.5986,YES
L0100,LORONG 106 CHANGI ,35788.6768,33209.9575,YES
L0101,LORONG 107 CHANGI ,35861.37,33197.9871,YES
L0102,LORONG 108 CHANGI ,35930.0467,33211.0998,YES
L0103,LANGSAT ROAD ,35506.7284,33031.3686,YES
L0104,LORONG BEKUKONG OFF STREET,45138.4696,41348.5891,YES
L0107,LORONG BACHOK OFF STREET,33133.035,32891.2922,YES
L0109,LOYANG WAY 1 ,43438.9937,39659.2347,YES
L0110,LOYANG STREET ,43091.2527,39603.7955,YES
L0113,LORONG 3 GEYLANG ,32573.1441,32664.8974,YES
L0115,LORONG 1 GEYLANG ROAD OFF STREET,32312.641,32543.1227,YES
L0116,LORONG 21 GEYLANG / GEYLANG ROAD OFF ST,33252.6146,32807.3321,YES
L0117,LORONG 25/25A GEYLANG OFF STREET,33510.0475,33077.0824,YES
L0118,LORONG 36 GEYLANG OFF STREET,34145.8285,32836.5502,YES
L0120,LORONG MYDIN ,36711.8085,33542.5971,YES
L0123,LORONG 9/11 GEYLANG OFF STREET,32801.8875,32837.3147,YES
L0124,LORONG 37 GEYLANG OFF STREET,34245.0343,33041.7438,YES
L0125,LORONG 31 GEYLANG OFF STREET,33990.0091,33036.8481,YES
M0001,MACKENZIE ROAD ,29567.5951,32069.7674,YES
M0003,MARNE ROAD  ,30643.5356,32789.564,YES
M0005,MAYO STREET ,30268.1856,31831.8776,YES
M0006,MCCALLUM STREET ,29568.1135,29119.7542,YES
M0009,MISTRI ROAD ,29408.8574,28483.137,YES
M0011,MOSQUE STREET ,29270.8883,29585.1284,YES
M0015,MOHAMED SULTAN ROAD ,28850.8558,30531.1768,YES
M0017,MIDDLE ROAD OFF STREET ,29925.7998,31557.543,YES
M0020,MAUDE ROAD ,30781.0982,32260.9164,YES
M0026,MANILA STREET ,30295.8721,31277.05,YES
M0038,MAJU AVENUE ,31596.3223,38563.2687,YES
M0039,MAJU AVENUE SERVICE ROAD,31585.3854,38593.6329,YES
M0040,MACKENZIE ROAD A OFF STREET,29807.0475,31944.2444,YES
M0043,MOUNT EMILY ROAD ,29792.604,31838.4762,YES
M0048,MARTABAN ROAD ,29974.494,33998.6134,YES
M0049,MINBU ROAD ,29854.7356,33967.9136,YES
M0055,MOONSTONE LANE ,31692.9374,34368.4154,YES
M0058,MACPHERSON ROAD ,33569.6436,34937.4696,YES
M0059,MACKENZIE ROAD B OFF STREET,29585.4645,32020.1872,YES
M0063,MAYNE ROAD ,29728.7582,32014.9078,YES
M0066,MACTAGGART ROAD ,33685.2719,35189.7763,YES
M0072,MANDALAY ROAD ,29887.4114,34078.1939,YES
M0074,MAKEWAY AVENUE ,28956.2088,32734.1073,YES
M0076,MINBU ROAD OFF STREET ,29734.9916,34159.4165,YES
M0077,MOHD SULTAN ROAD/RIVER VALLEY ROAD OFF STREET,28921.5077,30728.1959,YES
M0078,MARITIME SQUARE D OFF STREET,26559.0302,27674.9872,YES
M0080,MARSHALL ROAD ,35643.1941,31991.8806,YES
M0084,MARINA VIEW OFF STREET ,29797.8344,28569.8125,YES
M0085,MARTIN PLACE/ MUTHURAMAN CHETTY ROAD,28551.9326,30610.697,YES
M0088,MARGARET DRIVE OFF STREET,24627.6398,31419.3749,YES
N0003,NORTH BRIDGE ROAD (ARAB/JALAN SULTAN),30917.3253,31750.0548,YES
N0005,NEW INDUSTRIAL ROAD ,33821.8612,36142.707,YES
N0006,NEIL ROAD OFF STREET ,28956.4609,29088.2522,YES
N0010,NIVEN ROAD ,29811.4017,31761.8979,YES
N0011,NORRIS ROAD ,30270.9262,32257.4542,YES
N0012,NORTH BRIDGE ROAD MARKET OFF STREET,31365.1236,32045.5134,YES
N0013,NORTH BRIDGE ROAD OFF  STREET,30596.2021,31417.195,YES
N0014,NORTH CANAL ROAD ,29692.4555,29845.6277,YES
N0016,NEYTHAL ROAD ,13505.4439,34147.8155,YES
N0020,NEW MARKET ROAD ,29270.9727,29957.3796,YES
N0023,NETHERAVON ROAD ,44898.0996,41468.8832,YES
N0047,NEIL ROAD ,28979.4855,29085.4709,YES
O0004,OLD UPPER THOMSON ROAD ,27353.6547,39915.9542,YES
O0005,OLD UPPER THOMSON ROAD OFF STREET,27408.6074,39942.9511,YES
O0007,OWEN ROAD/ DORSET ROAD / CAMBRIDGE ROAD,29960.6035,33140.4175,YES
O0008,OLD AIRPORT ROAD ,33701.6917,32176.258,YES
O0010,OUTRAM ROAD ,28161.6974,29762.4345,YES
O0013,OUTRAM HILL ,28294.8605,29718.2464,YES
